,Term,P.value,Adjusted.P.value,Old.P.value,Old.Adjusted.P.value,Odds.Ratio,Combined.Score,Genes,cluster
177,regulation of acute inflammatory response (GO:0002673),0.00493209,0.142194652,0,0,5.854800937,31.10065878,C1QB;C1QA;OSM;C1QC,0
178,negative regulation of lymphocyte activation (GO:0051250),0.004994149,0.143174944,0,0,18.79699248,99.61444247,GPNMB;TNFAIP3,0
179,negative regulation of viral life cycle (GO:1903901),0.005086139,0.144997575,0,0,8.640552995,45.63280243,BST2;CCL5;TNF,0
180,tumor necrosis factor-mediated signaling pathway (GO:0033209),0.005223194,0.148077546,0,0,5.760368664,30.26869937,NFKBIA;TMSB4X;UBC;TNF,0
181,regulation of T cell proliferation (GO:0042129),0.005318927,0.149958472,0,0,8.503401361,44.52792282,GPNMB;CCL5;AIF1,0
182,regulation of epidermal cell differentiation (GO:0045604),0.005528855,0.1550206,0,0,17.85714286,92.8174011,ZFP36;ZFP36L1,0
183,regulation of viral genome replication (GO:0045069),0.005558033,0.154987114,0,0,8.370535714,43.46409902,BST2;CCL5;TNF,0
184,regulation of MAPK cascade (GO:0043408),0.005844275,0.16208334,0,0,4.3767507,22.50653341,CD74;GDF15;AXL;OSM;TRIB1,0
185,proteolysis (GO:0006508),0.006054355,0.167002013,0,0,3.66927593,18.7389095,MMP14;FURIN;CTSD;CTSS;MALT1;CTSB,0
186,cellular response to reactive oxygen species (GO:0034614),0.00605538,0.166132289,0,0,8.116883117,41.4513644,JUN;TNFAIP3;NFE2L2,0
187,mitochondrial ATP synthesis coupled proton transport (GO:0042776),0.006088606,0.166150574,0,0,17.00680272,86.75741657,MT-ATP6;MT-ATP8,0
188,regulation of interleukin-2 production (GO:0032663),0.006088606,0.165266794,0,0,17.00680272,86.75741657,TNFAIP3;MALT1,0
189,positive regulation of T cell mediated immunity (GO:0002711),0.006088606,0.164392367,0,0,17.00680272,86.75741657,B2M;MALT1,0
190,positive regulation of translational initiation (GO:0045948),0.006088606,0.163527144,0,0,17.00680272,86.75741657,PPP1R15A;CCL5,0
191,negative regulation of G-protein coupled receptor protein signaling pathway (GO:0045744),0.006088606,0.162670981,0,0,17.00680272,86.75741657,RGS2;CCL5,0
192,positive regulation of phosphorylation (GO:0042327),0.006461281,0.171728724,0,0,4.272043746,21.53933587,CD74;GPNMB;AXL;CCL5;TNF,0
193,positive regulation of biosynthetic process (GO:0009891),0.006673109,0.176439761,0,0,16.23376623,81.32580281,CCL5;APOE,0
194,negative regulation of myeloid cell differentiation (GO:0045638),0.006673109,0.175530277,0,0,16.23376623,81.32580281,ZFP36;ZFP36L1,0
195,triglyceride catabolic process (GO:0019433),0.006673109,0.174630122,0,0,16.23376623,81.32580281,FABP5;APOE,0
196,cellular response to organic substance (GO:0071310),0.006852001,0.178396737,0,0,5.330490405,26.56297747,JUN;CCL5;CCL3;TNF,0
197,response to organic cyclic compound (GO:0014070),0.00712781,0.1846356,0,0,7.653061224,37.8348312,CCL5;CCL3;TNF,0
198,regulation of interleukin-8 secretion (GO:2000482),0.007282073,0.18767889,0,0,15.52795031,76.4338456,TMSB4X;TLR2,0
199,positive regulation of mRNA catabolic process (GO:0061014),0.007282073,0.18673578,0,0,15.52795031,76.4338456,ZFP36;ZFP36L1,0
200,positive regulation of ion transmembrane transporter activity (GO:0032414),0.007282073,0.185802102,0,0,15.52795031,76.4338456,TMSB4X;CTSS,0
201,positive regulation of monooxygenase activity (GO:0032770),0.007282073,0.184877713,0,0,15.52795031,76.4338456,APOE;TNF,0
202,positive regulation of sequence-specific DNA binding transcription factor activity (GO:0051091),0.007400061,0.186943114,0,0,4.133597884,20.28053528,NFKBIA;UBC;TNF;MALT1;TLR2,0
203,regulation of cell cycle (GO:0051726),0.007400061,0.186022212,0,0,4.133597884,20.28053528,JUN;GADD45B;PIM1;IQGAP1;GADD45G,0
204,positive regulation of proteasomal ubiquitin-dependent protein catabolic process (GO:0032436),0.007412345,0.185417635,0,0,7.54527163,37.00660261,TRIB1;CBFA2T3;NFE2L2,0
205,positive regulation of lymphocyte proliferation (GO:0050671),0.007703527,0.191761448,0,0,7.44047619,36.20593037,CD74;CCL5;AIF1,0
206,positive regulation of apoptotic process (GO:0043065),0.007784441,0.192834968,0,0,3.478664193,16.89110015,JUN;GADD45B;UBC;CCL3;TNF;GADD45G,0
207,cellular response to growth factor stimulus (GO:0071363),0.007974514,0.196589096,0,0,5.102040816,24.65053379,ZFP36;CCL5;IQGAP1;ZFP36L1,0
208,regulation of fat cell differentiation (GO:0045598),0.00800139,0.196303321,0,0,7.338551859,35.43155621,ZFP36;TNF;ZFP36L1,0
209,regulation of epithelial cell proliferation (GO:0050678),0.00800139,0.195364071,0,0,7.338551859,35.43155621,ZFP36;MTSS1;ZFP36L1,0
210,response to lipid (GO:0033993),0.008172624,0.198594761,0,0,5.06585613,24.35139441,CXCL10;JUN;TRIB1;CXCL2,0
211,positive regulation of cell migration (GO:0030335),0.008277288,0.200184834,0,0,4.021879022,19.28185294,MMP14;GPNMB;CCL5;CCL3;CXCL16,0
212,positive regulation of neutrophil chemotaxis (GO:0090023),0.008572242,0.206340339,0,0,14.28571429,67.98894209,CD74;CXCL2,0
213,positive regulation of purine nucleotide biosynthetic process (GO:1900373),0.008572242,0.205371605,0,0,14.28571429,67.98894209,TMSB4X;APOE,0
214,regulation of neuronal synaptic plasticity (GO:0048168),0.008572242,0.204411925,0,0,14.28571429,67.98894209,SYNGR1;APOE,0
215,negative regulation of interleukin-6 production (GO:0032715),0.008572242,0.203461172,0,0,14.28571429,67.98894209,TNFAIP3;TNF,0
216,cytoplasmic pattern recognition receptor signaling pathway (GO:0002753),0.008572242,0.202519222,0,0,14.28571429,67.98894209,UBC;TNFAIP3,0
217,negative regulation of endothelial cell apoptotic process (GO:2000352),0.008572242,0.201585954,0,0,14.28571429,67.98894209,TNFAIP3;NFE2L2,0
218,regulation of G-protein coupled receptor protein signaling pathway (GO:0008277),0.008617294,0.201715833,0,0,7.142857143,33.95702968,RGS2;CCL5;NMT1,0
219,regulation of cell proliferation (GO:0042127),0.008714386,0.203057136,0,0,2.409870831,11.42948726,CXCL10;JUN;GPNMB;BHLHE40;OSM;SGK1;IER5;CXCL2;CBFA2T3;ZFP36L1,0
220,regulation of defense response (GO:0031347),0.0089354,0.207260669,0,0,7.04887218,33.25470637,TMSB4X;TNFAIP3;APOE,0
221,"nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway (GO:0035872)",0.009252879,0.213653583,0,0,13.73626374,64.32445777,UBC;TNFAIP3,0
222,positive regulation of neutrophil migration (GO:1902624),0.009252879,0.21269118,0,0,13.73626374,64.32445777,CD74;CXCL2,0
223,positive regulation of JNK cascade (GO:0046330),0.009260316,0.2119076,0,0,6.957328386,32.57433018,GADD45B;TNF;GADD45G,0
224,extracellular matrix organization (GO:0030198),0.00955592,0.217695791,0,0,3.881987578,18.05354997,MMP14;ITGB5;FURIN;F11R;CTSS,0
225,negative regulation of transmembrane receptor protein serine/threonine kinase signaling pathway (GO:0090101),0.009592072,0.217548196,0,0,6.868131868,31.91496112,UBC;PMEPA1;SKIL,0
226,apoptotic process (GO:0006915),0.009895679,0.223440928,0,0,3.848522167,17.76345861,NFKBIA;PPP1R15A;LY86;HK2;TLR2,0
227,extracellular matrix disassembly (GO:0022617),0.009930695,0.223243782,0,0,6.78119349,31.2757105,MMP14;FURIN;CTSS,0
228,regulation of p38MAPK cascade (GO:1900744),0.009956843,0.222849874,0,0,13.22751323,60.97215872,GADD45B;GADD45G,0
229,positive regulation of granulocyte chemotaxis (GO:0071624),0.009956843,0.22187673,0,0,13.22751323,60.97215872,CD74;CXCL2,0
230,activation of protein kinase activity (GO:0032147),0.010243666,0.227275782,0,0,3.815628816,17.47976066,GADD45B;UBC;TNF;MALT1;GADD45G,0
231,negative regulation of mitotic cell cycle phase transition (GO:1901991),0.010276213,0.22701089,0,0,6.696428571,30.65573745,GPNMB;UBC;ZFP36L1,0
232,regulation of transforming growth factor beta receptor signaling pathway (GO:0017015),0.010276213,0.226032395,0,0,6.696428571,30.65573745,UBC;PMEPA1;SKIL,0
233,ATP synthesis coupled proton transport (GO:0015986),0.010683857,0.233990225,0,0,12.75510204,57.8956807,MT-ATP6;MT-ATP8,0
234,cristae formation (GO:0042407),0.010683857,0.232990267,0,0,12.75510204,57.8956807,MT-ATP6;MT-ATP8,0
235,purine ribonucleoside triphosphate biosynthetic process (GO:0009206),0.010683857,0.231998819,0,0,12.75510204,57.8956807,MT-ATP6;MT-ATP8,0
236,negative regulation of myeloid leukocyte differentiation (GO:0002762),0.010683857,0.231015773,0,0,12.75510204,57.8956807,CCL3;C1QC,0
237,negative regulation of NF-kappaB transcription factor activity (GO:0032088),0.011354386,0.244478624,0,0,6.454388985,28.90372941,NFKBIA;TMSB4X;TNFAIP3,0
238,cellular response to hydrogen peroxide (GO:0070301),0.011433645,0.245150798,0,0,12.31527094,55.06397739,TNFAIP3;NFE2L2,0
239,regulation of NIK/NF-kappaB signaling (GO:1901222),0.011433645,0.244125062,0,0,12.31527094,55.06397739,TMSB4X;TNF,0
240,positive regulation of calcium-mediated signaling (GO:0050850),0.011433645,0.243107874,0,0,12.31527094,55.06397739,CCL4;CCL3,0
241,nucleotide-binding oligomerization domain containing signaling pathway (GO:0070423),0.011433645,0.242099128,0,0,12.31527094,55.06397739,UBC;TNFAIP3,0
242,protein maturation (GO:0051604),0.01172773,0.247300019,0,0,6.37755102,28.35331112,MMP14;FURIN;CTSS,0
243,regulation of keratinocyte differentiation (GO:0045616),0.012205934,0.256324608,0,0,11.9047619,52.45039373,ZFP36;ZFP36L1,0
244,negative regulation of epithelial cell apoptotic process (GO:1904036),0.012205934,0.255274098,0,0,11.9047619,52.45039373,TNFAIP3;NFE2L2,0
245,negative regulation of Notch signaling pathway (GO:0045746),0.012205934,0.254232163,0,0,11.9047619,52.45039373,MMP14;UBC,0
246,MyD88-dependent toll-like receptor signaling pathway (GO:0002755),0.012205934,0.253198699,0,0,11.9047619,52.45039373,UBC;TLR2,0
247,amino acid transmembrane transport (GO:0003333),0.012205934,0.252173603,0,0,11.9047619,52.45039373,SLC38A1;SLC38A2,0
248,regulation of neutrophil chemotaxis (GO:0090022),0.012205934,0.251156774,0,0,11.9047619,52.45039373,CD74;CXCL2,0
249,positive regulation of transcription from RNA polymerase II promoter in response to stress (GO:0036003),0.012205934,0.250148112,0,0,11.9047619,52.45039373,ATF3;NFE2L2,0
250,acylglycerol catabolic process (GO:0046464),0.013000453,0.265365241,0,0,11.52073733,50.03192508,FABP5;APOE,0
251,regulation of leukocyte chemotaxis (GO:0002688),0.013000453,0.264308009,0,0,11.52073733,50.03192508,CXCL10;CXCL2,0
252,MyD88-independent toll-like receptor signaling pathway (GO:0002756),0.013000453,0.263259168,0,0,11.52073733,50.03192508,TNIP3;UBC,0
253,positive regulation of interleukin-1 beta production (GO:0032731),0.013816933,0.278686999,0,0,11.16071429,47.78862039,EGR1;CCL3,0
254,endodermal cell differentiation (GO:0035987),0.014655109,0.294429221,0,0,10.82251082,45.70309798,MMP14;ITGB5,0
255,positive regulation of transcription factor import into nucleus (GO:0042993),0.014655109,0.293274597,0,0,10.82251082,45.70309798,TNF;TLR2,0
256,regulation of erythrocyte differentiation (GO:0045646),0.014655109,0.292128993,0,0,10.82251082,45.70309798,ZFP36;ZFP36L1,0
257,ATP biosynthetic process (GO:0006754),0.014655109,0.290992304,0,0,10.82251082,45.70309798,MT-ATP6;MT-ATP8,0
258,positive regulation of tumor necrosis factor superfamily cytokine production (GO:1903557),0.014655109,0.289864427,0,0,10.82251082,45.70309798,CCL3;TLR2,0
259,regulation of protein catabolic process (GO:0042176),0.014968528,0.294920456,0,0,5.822981366,24.46703467,TNFAIP3;FURIN;TNF,0
260,positive regulation of programmed cell death (GO:0043068),0.015093743,0.296243728,0,0,3.4606866,14.51230277,JUN;GADD45B;UBC;TNF;GADD45G,0
261,positive regulation of cellular metabolic process (GO:0031325),0.015405638,0.301206786,0,0,5.760368664,24.03814359,NFKBIA;CCL5;APOE,0
262,positive regulation of cell-cell adhesion (GO:0022409),0.015514716,0.30218167,0,0,10.50420168,43.76014984,CCL5;TNF,0
263,positive regulation of cytokine-mediated signaling pathway (GO:0001961),0.015514716,0.30103269,0,0,10.50420168,43.76014984,CD74;AXL,0
264,entry into host cell (GO:0030260),0.015514716,0.299892415,0,0,10.50420168,43.76014984,AXL;UBC,0
265,cellular glucose homeostasis (GO:0001678),0.015514716,0.298760745,0,0,10.50420168,43.76014984,TRA2B;HK2,0
266,regulation of transcription from RNA polymerase II promoter in response to stress (GO:0043618),0.015849909,0.304067994,0,0,5.699088146,23.62039235,UBC;ATF3;NFE2L2,0
267,"negative regulation of transcription, DNA-templated (GO:0045892)",0.016005403,0.305901019,0,0,2.193752194,9.070790016,ZFP36;JUN;NFIC;UBC;BHLHE40;FOSB;TNF;SKIL;CBFA2T3;ATF3,0
268,positive regulation of protein kinase activity (GO:0045860),0.016307597,0.310513694,0,0,4.128819158,16.99473235,EGR1;CCL5;IQGAP1;TNF,0
269,regulation of interleukin-8 production (GO:0032677),0.016395493,0.311026767,0,0,10.20408163,41.94641638,TNF;TLR2,0
270,negative regulation of DNA binding (GO:0043392),0.016395493,0.309874816,0,0,10.20408163,41.94641638,NFKBIA;JUN,0
271,interleukin-1-mediated signaling pathway (GO:0070498),0.016759979,0.315594742,0,0,5.580357143,22.81674894,NFKBIA;EGR1;UBC,0
272,positive regulation of NIK/NF-kappaB signaling (GO:1901224),0.017297179,0.32451289,0,0,9.920634921,40.25011743,TNF;MALT1,0
273,regulation of endothelial cell apoptotic process (GO:2000351),0.017297179,0.323324198,0,0,9.920634921,40.25011743,TNFAIP3;NFE2L2,0
274,carboxylic acid transmembrane transport (GO:1905039),0.017297179,0.322144182,0,0,9.920634921,40.25011743,SLC38A1;SLC38A2,0
275,antigen processing and presentation of exogenous peptide antigen via MHC class II (GO:0019886),0.017698821,0.328425759,0,0,5.466472303,22.05315552,CD74;CTSD;CTSS,0
276,antigen processing and presentation of exogenous peptide antigen (GO:0002478),0.017698821,0.327235811,0,0,5.466472303,22.05315552,CD74;CTSD;CTSS,0
277,positive regulation of MAP kinase activity (GO:0043406),0.017912858,0.32999752,0,0,4.012841091,16.14059596,GADD45B;UBC;TNF;GADD45G,0
278,regulation of angiogenesis (GO:0045765),0.017912858,0.328810479,0,0,4.012841091,16.14059596,GPNMB;STAB1;TNFAIP3;HK2,0
279,antigen processing and presentation of peptide antigen via MHC class II (GO:0002495),0.018179053,0.332500741,0,0,5.411255411,21.68552646,CD74;CTSD;CTSS,0
280,endoderm formation (GO:0001706),0.018219518,0.332050718,0,0,9.652509653,38.66082852,MMP14;ITGB5,0
281,inner mitochondrial membrane organization (GO:0007007),0.018219518,0.330869043,0,0,9.652509653,38.66082852,MT-ATP6;MT-ATP8,0
282,cellular response to metal ion (GO:0071248),0.019161174,0.34673572,0,0,5.304101839,20.97702906,JUN;IQGAP1;B2M,0
283,regulation of osteoclast differentiation (GO:0045670),0.019162254,0.345529976,0,0,9.398496241,37.16929382,CCL3;TNF,0
284,negative regulation of apoptotic process (GO:0043066),0.019557846,0.351421446,0,0,2.572016461,10.11928683,NFKBIA;CD74;AXL;UBC;PIM1;APOE;MALT1,0
285,Fc-epsilon receptor signaling pathway (GO:0038095),0.019613416,0.351183384,0,0,3.903200625,15.34559497,NFKBIA;JUN;UBC;MALT1,0
286,protein processing (GO:0016485),0.019663076,0.350841528,0,0,5.25210084,20.63557099,MMP14;FURIN;CTSS,0
287,positive regulation of macromolecule metabolic process (GO:0010604),0.019879334,0.353464249,0,0,3.223310985,12.62917289,EGR1;CCL3;TNF;NFE2L2;TLR2,0
288,Fc receptor signaling pathway (GO:0038093),0.019965093,0.353756486,0,0,3.881987578,15.19320611,NFKBIA;JUN;UBC;MALT1,0
289,positive regulation of neuron death (GO:1901216),0.020125134,0.355358342,0,0,9.157509158,35.76726903,EGR1;CCL3,0
290,positive regulation of innate immune response (GO:0045089),0.020125134,0.354132968,0,0,9.157509158,35.76726903,CCL5;TLR2,0
291,positive regulation of fat cell differentiation (GO:0045600),0.021107908,0.370150013,0,0,8.928571429,34.44738866,ZFP36;ZFP36L1,0
292,purine ribonucleoside monophosphate biosynthetic process (GO:0009168),0.021107908,0.368882376,0,0,8.928571429,34.44738866,MT-ATP6;MT-ATP8,0
293,negative regulation of catabolic process (GO:0009895),0.022110326,0.385081885,0,0,8.710801394,33.20305357,TNF;CBFA2T3,0
294,positive regulation of cytokine biosynthetic process (GO:0042108),0.022110326,0.383772083,0,0,8.710801394,33.20305357,EGR1;TNF,0
295,response to cAMP (GO:0051591),0.022110326,0.382471161,0,0,8.710801394,33.20305357,JUN;ZFP36L1,0
296,negative regulation of cytokine secretion (GO:0050710),0.022110326,0.381179028,0,0,8.710801394,33.20305357,TMSB4X;TNF,0
297,protein complex assembly (GO:0006461),0.022156999,0.380697532,0,0,3.759398496,14.32181143,TRA2B;TNFAIP3;TNF;MALT1,0
298,response to endoplasmic reticulum stress (GO:0034976),0.022281154,0.381546075,0,0,5.006675567,19.04546424,PPP1R15A;JUN;ATF3,0
299,positive regulation of cellular component organization (GO:0051130),0.022281154,0.380270001,0,0,5.006675567,19.04546424,PPP1R15A;APOE;TNF,0
300,positive regulation of cellular catabolic process (GO:0031331),0.022281154,0.379002434,0,0,5.006675567,19.04546424,FURIN;APOE;TNF,0
301,negative regulation of response to external stimulus (GO:0032102),0.0228265,0.386988799,0,0,4.96031746,18.74917236,TNFAIP3;APOE;TRIB1,0
302,regulation of response to external stimulus (GO:0032101),0.0228265,0.385707379,0,0,4.96031746,18.74917236,TMSB4X;NMT1;TNFAIP3,0
303,regulation of phagocytosis (GO:0050764),0.023132142,0.389581908,0,0,8.503401361,32.02833521,TNF;TLR2,0
304,regulation of calcium-mediated signaling (GO:0050848),0.023132142,0.388300389,0,0,8.503401361,32.02833521,CCL4;CCL3,0
305,regulation of protein activation cascade (GO:2000257),0.02337909,0.391159008,0,0,4.914809961,18.45959979,C1QB;C1QA;C1QC,0
306,regulation of complement activation (GO:0030449),0.023938925,0.399216774,0,0,4.87012987,18.17653975,C1QB;C1QA;C1QC,0
307,response to hydrogen peroxide (GO:0042542),0.02523299,0.419426547,0,0,8.116883117,29.86690745,TNFAIP3;NFE2L2,0
308,positive regulation of developmental process (GO:0051094),0.026250662,0.434925742,0,0,4.69924812,17.10556424,JUN;DDHD1;TNF,0
309,regulation of humoral immune response (GO:0002920),0.026250662,0.433518215,0,0,4.69924812,17.10556424,C1QB;C1QA;C1QC,0
310,negative regulation of type I interferon production (GO:0032480),0.026311541,0.433121909,0,0,7.936507937,28.87101292,UBC;TNFAIP3,0
311,positive regulation of viral life cycle (GO:1903902),0.026311541,0.431729234,0,0,7.936507937,28.87101292,CD74;CCL5,0
312,positive regulation of interleukin-8 production (GO:0032757),0.026311541,0.430345487,0,0,7.936507937,28.87101292,TNF;TLR2,0
313,regulation of T cell activation (GO:0050863),0.026311541,0.428970581,0,0,7.936507937,28.87101292,GPNMB;CCL5,0
314,regulation of immune effector process (GO:0002697),0.026846679,0.436301291,0,0,4.658385093,16.8522351,C1QB;C1QA;C1QC,0
315,regulation of cell growth (GO:0001558),0.026968103,0.436883265,0,0,3.536067893,12.77616864,BST2;MMP14;SGK1;CXCL16,0
316,negative regulation of programmed cell death (GO:0043069),0.027591339,0.445565201,0,0,2.619629759,9.405134531,NFKBIA;CD74;AXL;UBC;PIM1;MALT1,0
317,positive regulation of peptidyl-tyrosine phosphorylation (GO:0050731),0.028060381,0.451710169,0,0,4.578754579,16.36170619,CD74;CCL5;OSM,0
318,regulation of G1/S transition of mitotic cell cycle (GO:2000045),0.028523701,0.457724675,0,0,7.598784195,27.02902674,GPNMB;AIF1,0
319,positive regulation of signal transduction (GO:0009967),0.029143449,0.46620382,0,0,3.450655625,12.1998797,CD74;AXL;LY86;TLR2,0
320,positive regulation of protein serine/threonine kinase activity (GO:0071902),0.029302929,0.467290152,0,0,4.50180072,15.89166172,CCNL1;TNF;MALT1,0
321,positive regulation of tumor necrosis factor production (GO:0032760),0.029656841,0.471460618,0,0,7.44047619,26.17605999,CCL3;TLR2,0
322,amino acid transport (GO:0006865),0.03080771,0.488235225,0,0,7.288629738,25.36436083,SLC38A1;SLC38A2,0
323,stimulatory C-type lectin receptor signaling pathway (GO:0002223),0.031220708,0.493248529,0,0,4.391100703,15.22251321,NFKBIA;UBC;MALT1,0
324,positive regulation of cell proliferation (GO:0008284),0.032411189,0.510476231,0,0,2.521008403,8.645172019,CD74;CCL5;PIM1;OSM;TNF;AIF1,0
325,"complement activation, classical pathway (GO:0006958)",0.032535094,0.510851029,0,0,4.320276498,14.79883046,C1QB;C1QA;C1QC,0
326,cellular response to lipoteichoic acid (GO:0071223),0.033136987,0.518705652,0,0,29.76190476,101.4019405,TLR2,0
327,release of sequestered calcium ion into cytosol by sarcoplasmic reticulum (GO:0014808),0.033136987,0.517119396,0,0,29.76190476,101.4019405,CCL3,0
328,regulation of endothelial cell development (GO:1901550),0.033136987,0.515542812,0,0,29.76190476,101.4019405,TNF,0
329,response to heparin (GO:0071503),0.033136987,0.513975813,0,0,29.76190476,101.4019405,EGR1,0
330,response to granulocyte macrophage colony-stimulating factor (GO:0097012),0.033136987,0.51241831,0,0,29.76190476,101.4019405,ZFP36,0
331,negative regulation of transforming growth factor beta production (GO:0071635),0.033136987,0.510870219,0,0,29.76190476,101.4019405,FURIN,0
332,positive regulation of hormone metabolic process (GO:0032352),0.033136987,0.509331453,0,0,29.76190476,101.4019405,EGR1,0
333,regulation of extent of cell growth (GO:0061387),0.033136987,0.507801929,0,0,29.76190476,101.4019405,APOE,0
334,regulation of translational initiation in response to stress (GO:0043558),0.033136987,0.506281564,0,0,29.76190476,101.4019405,PPP1R15A,0
